epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.1309,1.29115,3.07045,1.63354,0.44635,0.31481,0.29493,0.1187,0.94734,60.8064,1.44368,0.000657534,0.000657534,0.000657534
2,68.4479,1.57011,2.9014,1.86014,0.02653,0.33333,0.0204,0.00608,1.41366,17.7393,1.69166,0.00129798,0.00129798,0.00129798
3,88.4005,1.70455,2.62869,1.99792,0.25639,0.09259,0.04668,0.0171,1.68153,27.3692,2.00726,0.00191203,0.00191203,0.00191203
4,104.44,1.75247,2.54143,2.03507,0.07221,0.14815,0.04545,0.02575,1.33542,53.0312,1.63452,0.0018812,0.0018812,0.0018812
5,120.558,1.73028,2.39503,2.01347,0.16164,0.12151,0.0613,0.0186,1.35316,109.834,1.49056,0.0018416,0.0018416,0.0018416
6,136.799,1.65898,2.29912,1.9463,0.30363,0.24074,0.21958,0.07917,1.09383,13.1917,1.40298,0.001802,0.001802,0.001802
7,153.183,1.63376,2.19625,1.9444,0.40607,0.37037,0.26962,0.08791,0.97373,28.2745,1.19255,0.0017624,0.0017624,0.0017624
8,169.853,1.62874,2.08435,1.90886,0.44711,0.38889,0.40981,0.18034,0.95396,18.6959,1.16949,0.0017228,0.0017228,0.0017228
9,186.783,1.5673,1.98389,1.844,0.36209,0.31481,0.31329,0.12395,0.97281,10.7979,1.18054,0.0016832,0.0016832,0.0016832
10,202.665,1.50898,1.98168,1.81004,0.55546,0.48599,0.52493,0.20592,0.978,8.73011,1.14662,0.0016436,0.0016436,0.0016436
11,218.508,1.47847,1.86729,1.7712,0.56926,0.42593,0.47336,0.19801,0.88938,8.85512,1.03427,0.001604,0.001604,0.001604
12,234.499,1.43515,1.80978,1.75218,0.48684,0.65006,0.58589,0.32381,0.7589,11.0727,0.95393,0.0015644,0.0015644,0.0015644
13,254.836,1.4418,1.82261,1.7488,0.61255,0.59259,0.5918,0.26411,0.89056,3.64141,1.04267,0.0015248,0.0015248,0.0015248
14,277.98,1.41615,1.80896,1.71258,0.68127,0.51852,0.58507,0.24632,0.88808,5.36478,1.08021,0.0014852,0.0014852,0.0014852
15,295.095,1.36993,1.66853,1.66438,0.3853,0.72222,0.50257,0.23836,0.84442,12.8828,1.00109,0.0014456,0.0014456,0.0014456
16,311.549,1.36884,1.72698,1.66978,0.58608,0.57691,0.571,0.28584,0.7987,11.2734,0.9788,0.001406,0.001406,0.001406
17,327.598,1.33523,1.63108,1.65022,0.60454,0.55556,0.65899,0.33955,0.81182,3.80416,0.98577,0.0013664,0.0013664,0.0013664
18,343.533,1.30257,1.59032,1.63924,0.51499,0.57407,0.55001,0.25891,0.83738,3.89752,1.01932,0.0013268,0.0013268,0.0013268
