epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1587,1.56958,2.1756,1.87491,0.00731,0.57407,0.13936,0.03862,2.61013,3.38403,3.76584,0.000325,0.000325,0.067825
2,36.7668,1.60289,1.8592,1.89464,0.47815,0.5,0.42938,0.13683,2.10771,2.39894,3.082,0.000651816,0.000651816,0.0348185
3,46.4956,1.57479,1.78361,1.88139,0.58012,0.59259,0.58577,0.21475,1.87079,1.99549,2.29354,0.000972032,0.000972032,0.00180537
4,56.1125,1.514,1.61753,1.84184,0.64852,0.64923,0.67184,0.27138,1.71511,1.89152,2.1408,0.0009703,0.0009703,0.0009703
5,65.6528,1.55148,1.65113,1.88751,0.50066,0.66667,0.60106,0.27629,1.72461,2.19815,2.12492,0.0009604,0.0009604,0.0009604
6,75.792,1.53835,1.58433,1.86543,0.74981,0.68519,0.74941,0.33631,1.69647,1.83118,2.15371,0.0009505,0.0009505,0.0009505
7,85.8512,1.5125,1.54598,1.86453,0.74068,0.83333,0.85441,0.36434,1.78632,1.38882,2.20778,0.0009406,0.0009406,0.0009406
8,95.6761,1.49666,1.55645,1.82797,0.67039,0.7157,0.69443,0.31386,1.7325,1.474,2.15696,0.0009307,0.0009307,0.0009307
9,105.535,1.46421,1.52926,1.80242,0.81257,0.66667,0.79094,0.30706,1.90139,1.39623,2.25013,0.0009208,0.0009208,0.0009208
10,115.332,1.49467,1.48965,1.8109,0.73549,0.66943,0.6776,0.29668,1.6726,1.93143,2.13083,0.0009109,0.0009109,0.0009109
11,125.14,1.44804,1.48751,1.78512,0.73613,0.66667,0.70963,0.34953,1.69623,1.42648,2.06302,0.000901,0.000901,0.000901
12,134.803,1.43211,1.41531,1.76912,0.80377,0.75853,0.85206,0.42542,1.54022,1.31007,1.84521,0.0008911,0.0008911,0.0008911
13,144.648,1.42455,1.40638,1.76154,0.6978,0.83333,0.83418,0.4746,1.46982,1.12687,1.85393,0.0008812,0.0008812,0.0008812
14,154.297,1.42562,1.41598,1.75843,0.75871,0.7963,0.78005,0.40623,1.57318,1.27622,1.9689,0.0008713,0.0008713,0.0008713
15,164.227,1.37353,1.33272,1.69712,0.81306,0.81481,0.84268,0.48212,1.57796,0.99356,1.93275,0.0008614,0.0008614,0.0008614
16,173.887,1.38018,1.36512,1.71743,0.84241,0.83333,0.8864,0.46498,1.60307,1.12615,1.9623,0.0008515,0.0008515,0.0008515
17,183.604,1.38181,1.32472,1.73099,0.80096,0.72222,0.77664,0.40117,1.50537,1.18733,1.92274,0.0008416,0.0008416,0.0008416
